placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,phoneNumber,,,,,,,,imgUrl,isClaimed,query,timestamp,website
"https://www.google.com/maps/place/Oriental+Mom/@28.5636421,77.2169701,16z/data=!4m8!1m2!2m1!1sRestaurants+in+South+Ex+!3m4!1s0x390ce3f7aff0550d:0x55e532626d443313!8m2!3d28.5655391!4d77.2214047?hl=en",Oriental Mom,5,29,Delivery Chinese restaurant,,"325A, Masjid Moth Rd, South Extension, Block A, South Extension II, New Delhi, Delhi 110049, India","H68C+6H South Extension II, South Extension, New Delhi, Delhi, India",+91 11 4555 2728,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMi0UwZl-X3e5f_sb2Pzme9V-jsG46mOwQ6DZta=w408-h272-k-no,TRUE,Restaurants in South Ex ,2020-02-17T11:19:04.971Z,orientalmom.in
"https://www.google.com/maps/place/Daitchi/@28.5636421,77.2169701,16z/data=!4m8!1m2!2m1!1sRestaurants+in+South+Ex+!3m4!1s0x390ce25d0f41727b:0xdce2e72a04a7fc75!8m2!3d28.5679269!4d77.2199701?hl=en",Daitchi,4.1,373,Asian restaurant,Cozy · Casual · Good for kids,"E-19A, Main Market, South Extension 2, New Delhi, Delhi 110049, India","H699+5X Delhi, India",+91 11 2625 7511,,,,,,,,https://lh5.googleusercontent.com/proxy/c1fuIU5jNE8Y66aCH-4ThaoQytsvMkWKFKpg5WJbZ4kCITfDEQs9Fzv3WUcNnuFfgK03ZwwztS_IBiMSH_dWMrmQUoC0wyVtBuE_vpXuKDmLwc_yAOSoqPOZcBXRXTjZxFQgaVY2aTZHbG66BrzMIywtGNGZpw=w420-h240-k-no,,Restaurants in South Ex ,2020-02-17T11:19:07.275Z,zomato.com
"https://www.google.com/maps/place/Tuk+Tuk/@28.5636421,77.2169701,16z/data=!4m8!1m2!2m1!1sRestaurants+in+South+Ex+!3m4!1s0x390ce242f9855555:0x37ebab66e4b3a433!8m2!3d28.563688!4d77.2198128?hl=en",Tuk Tuk,4,34,Pan-Asian restaurant,Casual · Good for kids · Groups,"South Extension Plaza 2, South Extension, Masjid Moth Village, South Extension II, New Delhi, Delhi 110049, India","H679+FW South Extension II, South Extension, New Delhi, Delhi, India",+91 80102 26611,,,,,,,,,TRUE,Restaurants in South Ex ,2020-02-17T11:19:08.756Z,tuktukkitchen.in
"https://www.google.com/maps/place/Moti+Mahal+Delux/@28.5636421,77.2169701,16z/data=!4m8!1m2!2m1!1sRestaurants+in+South+Ex+!3m4!1s0x390ce22d40000001:0x347eb9fe9a178e44!8m2!3d28.568451!4d77.219136?hl=en",Moti Mahal Delux,4,1329,Chicken restaurant,All you can eat · Cozy · Casual,"E 31-32, South Extension, Block E, South Extension II, New Delhi, Delhi 110049, India","H699+9M Delhi, India",+91 11 4050 7400,,,,,,,,https://lh5.googleusercontent.com/proxy/CxL6K2D0F80BjUvuqDpJIjIwNBoytj4uSRHQfLOJrM_hbZi2aONb7O4iL2DiT4PcK6b_glnNa37uv0zOe4oyjacjJ14aL8nk_504szsJnGLLt9HwRFxyAP85FCKRz6QXs4pPrLjfng9Tc6XnLpz-9l6NXaR9SSc=w420-h240-k-no,,Restaurants in South Ex ,2020-02-17T11:19:10.488Z,motimahal.in
"https://www.google.com/maps/place/Choice+of+pizza/@28.5636421,77.2169701,16z/data=!4m8!1m2!2m1!1sRestaurants+in+South+Ex+!3m4!1s0x390ce312581941c7:0x862cd93b89c50b92!8m2!3d28.5714886!4d77.223923?hl=en",Choice of pizza,5,10,Restaurant,Casual · Good for kids · Groups,"1736/1, Sher Singh bazaar, rishi nagar, Kotla Mubarakpur, South Extension I, New Delhi, Delhi 110003, India","H6CF+HH South Extension I, South Extension, New Delhi, Delhi, India",+91 83839 98641,,,,,,,,,TRUE,Restaurants in South Ex ,2020-02-17T11:19:12.018Z,choice-of-pizza.business.site
"https://www.google.com/maps/place/Studio+XO+Bar/@28.5636421,77.2169701,16z/data=!4m8!1m2!2m1!1sRestaurants+in+South+Ex+!3m4!1s0x390ce25b5b7a306d:0x1ab7d429ed0eb772!8m2!3d28.5678453!4d77.2241024?hl=en",Studio XO Bar,4.1,987,Live music bar,Happy hour food · Outdoor seating · Cozy,"Second M4, South Extension II, New Delhi, Delhi 110049, India","H69F+4J South Extension II, South Extension, New Delhi, Delhi, India",,,,,,,,,https://lh3.googleusercontent.com/proxy/5nLohuwcwFk4fhxKMuShVXT-Cw9SWn5nrD6NGrQOKO9aRfQUIQBg8sA3MRf-bICOImcaMA6BRWJzijF0E0XfYM9Mu1SJnJ7HlFWDOa1pJYyFbwZB9Xv1h7sU5VTuEjrtMe4xim1J3klFEbf-eGkELih5i7_aRyM=w408-h272-k-no,TRUE,Restaurants in South Ex ,2020-02-17T11:19:14.409Z,
"https://www.google.com/maps/place/The+Sky+High/@28.5636421,77.2169701,16z/data=!4m8!1m2!2m1!1sRestaurants+in+South+Ex+!3m4!1s0x390ce244700fb193:0xad018fb6e2cef39e!8m2!3d28.562589!4d77.22394?hl=en",The Sky High,4,794,European restaurant,Late-night food · Cozy · Casual,"Ansal Plaza, C 306A, 307,T101,102, August Kranti Marg, Hudco Place, Khel Gaon, Andrews Ganj, New Delhi, Delhi 110049, India","H67F+2H Andrews Ganj, New Delhi, Delhi, India",+91 98701 99077,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM_s7t7AdYW5A1O7Ftypnzd8NrPpBAp3O1fdqb3=w478-h240-k-no,TRUE,Restaurants in South Ex ,2020-02-17T11:19:17.365Z,theskyhigh.in
"https://www.google.com/maps/place/Dontelmama/@28.5636421,77.2169701,16z/data=!4m8!1m2!2m1!1sRestaurants+in+South+Ex+!3m4!1s0x390ce38d0127acb1:0x2ae2d45985551489!8m2!3d28.5685157!4d77.2177807?hl=en",Dontelmama,4.3,117,Disco club,Cozy · Casual · Groups,"3rd Floor, D 14, South Extension II, New Delhi, Delhi 110049, India","H699+C4 South Extension II, South Extension, New Delhi, Delhi, India",+91 72177 76735,,,,,,,,,TRUE,Restaurants in South Ex ,2020-02-17T11:19:19.401Z,
"https://www.google.com/maps/place/Joker+on+Wheels/@28.5636421,77.2169701,16z/data=!4m8!1m2!2m1!1sRestaurants+in+South+Ex+!3m4!1s0x390ce25d7cfac8c5:0xce94d57ef210ccd3!8m2!3d28.568333!4d77.21774?hl=en",Joker on Wheels,4,22,Chinese restaurant,Casual · Good for kids · Groups,"D-14 , 3rd Floor, South Extension II, New Delhi, Delhi 110049, New Delhi, Delhi 110049, India","H699+83 New Delhi, Delhi, India",+91 78619 85985,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipN3kTEOlijIJ9VVtHNG1xeLh9exOPrCYK97_MFN=w408-h306-k-no,TRUE,Restaurants in South Ex ,2020-02-17T11:19:21.931Z,
"https://www.google.com/maps/place/The+Owl's+Kitchen,+South+Extension+1,+New+Delhi,+South+Extn,+Delhi+110049,+India/@28.5636421,77.2169701,16z/data=!4m5!1m2!2m1!1sRestaurants+in+South+Ex+!3m1!1s0x390ce714db64a6d3:0x66577df70b3e15e4?hl=en",The Owl's Kitchen,3,6,Fast food restaurant,Casual · Good for kids · Groups,"South Extension 1, New Delhi, South Extn, Delhi 110049, India",,+91 88020 20291,,,,,,,,,TRUE,Restaurants in South Ex ,2020-02-17T11:19:23.909Z,
"https://www.google.com/maps/place/Gupta's+Restaurant/@28.5636421,77.2169701,16z/data=!4m8!1m2!2m1!1sRestaurants+in+South+Ex+!3m4!1s0x390ce25d149a1201:0x35c8fb14c5d8a1d1!8m2!3d28.567911!4d77.2191306?hl=en",Gupta's Restaurant,3.9,534,North Indian restaurant,Casual · Good for kids · Groups,"E-27, South Extension, Block E, South Extension II, New Delhi, Delhi 110049, India","H699+5M South Extension II, South Extension, New Delhi, Delhi, India",+91 93197 11449,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipONiw0GNTKF09HplU5NxpiqJkVwp93C4CYQMiwt=w408-h272-k-no,TRUE,Restaurants in South Ex ,2020-02-17T11:19:25.742Z,
"https://www.google.com/maps/place/29+India+State+Food,+G-26,+first+floor+pvt+4%2F5+Near+south+ex+metro+station+gate,+number+2,+Har+Gyan+Singh+Arya+Marg,+South+Extension+I,+New+Delhi,+Delhi+110049,+India/@28.5636421,77.2169701,16z/data=!4m5!1m2!2m1!1sRestaurants+in+South+Ex+!3m1!1s0x390ce374ffa57d35:0xe4dc65506f07345b?hl=en",29 India State Food,4.8,52,Restaurant,Casual · Good for kids · Groups,"G-26, first floor pvt 4/5 Near south ex metro station gate, number 2, Har Gyan Singh Arya Marg, South Extension I, New Delhi, Delhi 110049, India","H69C+H8 South Extension I, South Extension, New Delhi, Delhi, India",+91 78270 61088,,,,,,,,,TRUE,Restaurants in South Ex ,2020-02-17T11:19:27.578Z,
"https://www.google.com/maps/place/Kofuku/@28.5636421,77.2169701,16z/data=!4m8!1m2!2m1!1sRestaurants+in+South+Ex+!3m4!1s0x390ce24440e3ffdf:0x642f6219e851345f!8m2!3d28.5625871!4d77.224955?hl=en",Kofuku,4.3,425,Japanese restaurant,Reservations required · All you can eat · Outdoor seating,"BG-09, Block B, Ground Floor, Ansal Plaza Mall, Khel Gaon Marg, New Delhi, Delhi 110049, India","H67F+2X New Delhi, Delhi, India",+91 80101 74174,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPp0hbezWWVAaGTMzyxRg-Koias4uJOKp2l8_E=w408-h272-k-no,TRUE,Restaurants in South Ex ,2020-02-17T11:19:29.396Z,kofuku.co.in
