placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,,,,,,,,imgUrl,isClaimed,query,timestamp,phoneNumber
"https://www.google.com/maps/place/SANDOZ+-+Good+Food+Restaurants+in+Jail+Road,+Home+Delivery+Restaurants/@37.0625,-95.677068,4z/data=!4m8!1m2!2m1!1sRestaurants+in+Jail+Road!3m4!1s0x390d04a10b30a08d:0x731a8d0cc9baeb3!8m2!3d28.6317668!4d77.0983842?hl=en","SANDOZ - Good Food Restaurants in Jail Road, Home Delivery Restaurants",3.9,876,Restaurant,Late-night food · All you can eat · Casual,"149A, Jail Rd, BA Block, Gurunanak Pura, Janakpuri, Delhi, 110018, India","J3JX+P9 Delhi, India",thesandoz.com,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNzBjX7FtMpki2PP9nwgv6jAkG8q1DO6Xkdl0l7=w426-h240-k-no,TRUE,Restaurants in Jail Road,2020-02-17T06:59:05.605Z,
"https://www.google.com/maps/place/Kake+Da+Hotel+Jail+Road/@30.0165891,72.8469887,7z/data=!4m8!1m2!2m1!1sRestaurants+in+Jail+Road!3m4!1s0x390d057589906455:0x9d145096cf1b4763!8m2!3d28.6257184!4d77.1013497?hl=en",Kake Da Hotel Jail Road,4.1,271,North Indian restaurant,All you can eat · Casual · Vegetarian options,"HL 3, L BLOCK, Jail Rd, Hari Nagar, New Delhi, Delhi 110058, India","J4G2+7G Hari Nagar, New Delhi, Delhi, India",,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOF1EHOP_ve7kuSkHO0fmE0DjUtNiT1MIMNLV_d=w408-h306-k-no,TRUE,Restaurants in Jail Road,2020-02-17T06:59:09.302Z,+91 73035 55288
"https://www.google.com/maps/place/The+BBQ+Company/@30.0165891,72.8469887,7z/data=!4m8!1m2!2m1!1sRestaurants+in+Jail+Road!3m4!1s0x390d04a793fa9125:0x5c628a331c8acae3!8m2!3d28.6254712!4d77.101449?hl=en",The BBQ Company,4.2,4777,Barbecue restaurant,Late-night food · All you can eat · Cozy,"L-Block, Jail Rd, Janakpuri, New Delhi, Delhi 110018, India","J4G2+5H Delhi, India",,,,,,,,,,,Restaurants in Jail Road,2020-02-17T06:59:10.985Z,+91 81301 31091
"https://www.google.com/maps/place/Shree+Rathnam+Restaurant/@30.0165891,72.8469887,7z/data=!4m8!1m2!2m1!1sRestaurants+in+Jail+Road!3m4!1s0x390d04a796d14d1d:0x2be7486b1d20d6a9!8m2!3d28.6256345!4d77.1013484?hl=en",Shree Rathnam Restaurant,3.9,507,South Indian restaurant,Happy hour food · All you can eat · Breakfast,"HL No. 5, L Block, Jail Road, opposite santoshi mata mandir, Panna Market, Hari Nagar, New Delhi, Delhi 110064, India","J4G2+7G New Delhi, Delhi, India",shreerathnam.com,,,,,,,,,TRUE,Restaurants in Jail Road,2020-02-17T06:59:13.067Z,+91 11 4106 3009
"https://www.google.com/maps/place/Chef+Punjabi/@30.0165891,72.8469887,7z/data=!4m8!1m2!2m1!1sRestaurants+in+Jail+Road!3m4!1s0x390d04a707cf4407:0xeb7d71a152f64c38!8m2!3d28.6274215!4d77.0998829?hl=en",Chef Punjabi,4,106,Punjabi restaurant,All you can eat · Casual · Good for kids,"WZ-277A Gali no - 15 , G- block HARI NAGAR, Jail Rd, opposite Petrol Pump, New Delhi, Delhi 110064, India","J3GX+XX New Delhi, Delhi, India",,,,,,,,,,TRUE,Restaurants in Jail Road,2020-02-17T06:59:15.806Z,
"https://www.google.com/maps/place/Tikka+Junction/@30.0165891,72.8469887,7z/data=!4m8!1m2!2m1!1sRestaurants+in+Jail+Road!3m4!1s0x390d04bb558a2ab9:0xa3f691bea678e5e4!8m2!3d28.6285018!4d77.0996116?hl=en",Tikka Junction,3.9,433,Mughlai restaurant,Late-night food · Casual · Good for kids,"GL-12, Jail Rd, opp Axis bank, New Delhi, Delhi 110058, India","J3HX+CR New Delhi, Delhi, India",,,,,,,,,,TRUE,Restaurants in Jail Road,2020-02-17T06:59:17.997Z,+91 72919 16262
"https://www.google.com/maps/place/Imly+-+The+Furniture+Project/@30.0165891,72.8469887,7z/data=!4m8!1m2!2m1!1sRestaurants+in+Jail+Road!3m4!1s0x390d050ab2ee30f1:0x712f35a9baa02b05!8m2!3d28.6254106!4d77.1010205?hl=en",Imly - The Furniture Project,3.7,1129,Vegetarian restaurant,Happy hour food · Late-night food · Breakfast,"BF-1, 110058, Delhi, Jail Rd, New Delhi, Delhi 110058, India","J4G2+5C New Delhi, Delhi, India",imly.co.in,,,,,,,,,TRUE,Restaurants in Jail Road,2020-02-17T06:59:21.442Z,+91 87438 74007
"https://www.google.com/maps/place/LA+PINO'Z+PIZZA+HARI+NAGAR+JAIL+ROAD/@30.0165891,72.8469887,7z/data=!4m8!1m2!2m1!1sRestaurants+in+Jail+Road!3m4!1s0x390d04a729c365e3:0x394c39cdf3e22463!8m2!3d28.628814!4d77.099665?hl=en",LA PINO'Z PIZZA HARI NAGAR JAIL ROAD,3.9,403,Pizza restaurant,Cozy · Casual · Good for kids,"GL-9, Jail Rd, Shiv Nagar Extension, Hari Nagar, New Delhi, Delhi 110058, India","J3HX+GV Delhi, India",,,,,,,,,,,Restaurants in Jail Road,2020-02-17T06:59:24.321Z,+91 93111 18844
"https://www.google.com/maps/place/New+Chawla+Chicken+(+Kabab+Roll+Wale+)/@30.0165891,72.8469887,7z/data=!4m8!1m2!2m1!1sRestaurants+in+Jail+Road!3m4!1s0x390d0496c9943033:0xdca7c216d3a26425!8m2!3d28.63429!4d77.0979108?hl=en",New Chawla Chicken ( Kabab Roll Wale ),4,713,Family restaurant,All you can eat · Casual · Good for kids,"D-1, Fateh Nagar, Vaidic Marg, Jail Road, opp. Sukho Khalsa School, Tilak Nagar, Delhi 110018, India","J3MX+P5 Delhi, India",,,,,,,,,,TRUE,Restaurants in Jail Road,2020-02-17T06:59:25.535Z,+91 96504 22889
"https://www.google.com/maps/place/Wah+ji+Wah/@30.0165891,72.8469887,7z/data=!4m8!1m2!2m1!1sRestaurants+in+Jail+Road!3m4!1s0x390d04a10b4a61e7:0xad810c33a759986e!8m2!3d28.6350748!4d77.0972835?hl=en",Wah ji Wah,4,1469,Punjabi restaurant,Late-night food · All you can eat · Casual,"25, metro station, 1, Jail Rd, near Tilak Nagar, Tilak Nagar, New Delhi, Delhi 110018, India","J3PW+2W Tilak Nagar, New Delhi, Delhi, India",wahjiwahindia.in,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPr0wyjYIeutEvEfUGBQhWbpsaTCLW6E6zrLNJY=w408-h244-k-no,TRUE,Restaurants in Jail Road,2020-02-17T06:59:27.476Z,+91 88601 44567
