placeUrl,title,rating,reviewCount,category,address,website,phoneNumber,imgUrl,isClaimed,query,monday,tuesday,wednesday,thursday,friday,saturday,sunday
"https://www.google.com/maps/place/India+Gate/@28.5791506,77.1584686,12z/data=!4m8!1m2!2m1!1sTourist+spots+in+New+delhi!3m4!1s0x390ce2daa9eb4d0b:0x717971125923e5d!8m2!3d28.612912!4d77.2295097?hl=en",India Gate,4.6,189691,Monument,"Rajpath, India Gate, New Delhi, Delhi 110001, India",delhitourism.gov.in,+91 11 2336 5358,https://lh5.googleusercontent.com/p/AF1QipORuKI8HGY4ofVBiXNcEGBMCJ6RjGwPIjJUqGuW=w408-h302-k-no,TRUE,Tourist spots in New delhi,,,,,,,
"https://www.google.com/maps/place/Qutub+Minar,+Seth+Sarai,+Mehrauli,+New+Delhi,+Delhi+110030,+India/@28.5791506,77.1584686,12z/data=!4m5!1m2!2m1!1sTourist+spots+in+New+delhi!3m1!1s0x390d1e0667819b4f:0x834995f160759db8?hl=en",Qutub Minar,4.5,93315,Monument,"Seth Sarai, Mehrauli, New Delhi, Delhi 110030, India",delhitourism.gov.in,+91 11 2469 8431,https://lh5.googleusercontent.com/p/AF1QipPLu5VpPldKSHjBAG9i8HOi8HDDx-2oK8iRKjnh=w408-h300-k-no,TRUE,Tourist spots in New delhi,7AM -   5PM,7AM- 5PM,7AM -   5PM,7AM -   5PM,7AM -   5PM,7AM -   5PM,7AM -   5PM
"https://www.google.com/maps/place/Humayun%E2%80%99s+Tomb,+Mathura+Road+Opposite,+Hazrat+Nizamuddin+Aulia+Dargah,+Nizamuddin,+New+Delhi,+Delhi+110013,+India/@28.5791506,77.1584686,12z/data=!4m5!1m2!2m1!1sTourist+spots+in+New+delhi!3m1!1s0x390ce31ce8460ba7:0xb9f1ba2d3bdfa80d?hl=en",Humayun - �s Tomb,4.5,,Historical landmark,"Mathura Road Opposite, Hazrat Nizamuddin Aulia Dargah, Nizamuddin, New Delhi, Delhi 110013, India",,+91 11 2435 5275,,TRUE,Tourist spots in New delhi,,,,,,,
"https://www.google.com/maps/place/Red+Fort/@28.5791506,77.1584686,12z/data=!4m8!1m2!2m1!1sTourist+spots+in+New+delhi!3m4!1s0x390cfce26ec085ef:0x441e32f4fa5002fb!8m2!3d28.6561592!4d77.2410203?hl=en",Red Fort,4.4,100287,Fortress,"Netaji Subhash Marg, Lal Qila, Chandni Chowk, New Delhi, Delhi 110006, India",asi.nic.in,+91 11 2327 7705,https://lh5.googleusercontent.com/p/AF1QipOG_OhYHaIJgACdXaNx24yM3-_Or9sKFxq4IKvR=w426-h240-k-no,TRUE,Tourist spots in New delhi,,,,,,,
"https://www.google.com/maps/place/The+Garden+of+Five+Senses/@28.5791506,77.1584686,12z/data=!4m8!1m2!2m1!1sTourist+spots+in+New+delhi!3m4!1s0x390ce1e3ea219915:0x14fc57988731271c!8m2!3d28.513403!4d77.1975227?hl=en",The Garden of Five Senses,4.1,17273,Garden,"Westend Marg, Saidulajab, Saiyad ul Ajaib, Saket, New Delhi, Delhi 110030, India",,+91 11 2953 6401,,TRUE,Tourist spots in New delhi,9AM -   7PM,9AM -   7PM,9AM -   7PM,9AM -   7PM,9AM -   7PM,9AM -   7PM,9AM -   7PM
"https://www.google.com/maps/place/Lodhi+Garden,+Lodhi+Rd,+Lodhi+Gardens,+Lodhi+Estate,+New+Delhi,+Delhi+110003,+India/@28.5791506,77.1584686,12z/data=!4m5!1m2!2m1!1sTourist+spots+in+New+delhi!3m1!1s0x390ce2ececc92e35:0x86c0764b1c0d4bea?hl=en",Lodhi Garden,4.5,28731,Garden,"Lodhi Rd, Lodhi Gardens, Lodhi Estate, New Delhi, Delhi 110003, India",ndmc.gov.in,+91 11 2464 0079,https://lh5.googleusercontent.com/p/AF1QipNunGEesv4Y72qX_kWF1RHtN0GQl_lFPxF2LzEk=w408-h272-k-no,TRUE,Tourist spots in New delhi,,,,,,,
"https://www.google.com/maps/place/Agrasen+ki+baoli,+Hailey+Road,+KG+Marg,+near+Diwanchand+Imaging+Centre,+New+Delhi,+Delhi+110001,+India/@28.5791506,77.1584686,12z/data=!4m5!1m2!2m1!1sTourist+spots+in+New+delhi!3m1!1s0x390cfd3313d868d9:0x9084a965630af01b?hl=en",Agrasen ki baoli,4.2,29227,Historical landmark,"Hailey Road, KG Marg, near Diwanchand Imaging Centre, New Delhi, Delhi 110001, India",fabhotels.com,,https://lh5.googleusercontent.com/p/AF1QipMGjQUOb2vwHmfJZq6q_FPPEXcs1ieC8hkHd86_=w426-h240-k-no,TRUE,Tourist spots in New delhi,9AM -   5:30PM,9AM -   5:30PM,9AM -   5:30PM,9AM -   5:30PM,9AM -   5:30PM,9AM -   5:30PM,9AM -   5:30PM
"https://www.google.com/maps/place/Purana+Qila,+Mathura+Rd,+Near+Delhi+Zoo,+New+Delhi,+Delhi+110003,+India/@28.5791506,77.1584686,12z/data=!4m5!1m2!2m1!1sTourist+spots+in+New+delhi!3m1!1s0x390ce3214b3b6771:0x139279610ab2ccb3?hl=en",Purana Qila,4.2,21154,Fortress,"Mathura Rd, Near Delhi Zoo, New Delhi, Delhi 110003, India",delhitourism.gov.in,+91 11 2336 5358,https://lh5.googleusercontent.com/p/AF1QipPqzh-_VCI6WTj4Vuu2ezXfG10pzAXdelMLWbnv=w408-h306-k-no,TRUE,Tourist spots in New delhi,7AM -   5PM,7AM -   5PM,7AM -   5PM,7AM -   5PM,7AM -   5PM,7AM -   5PM,7AM -   5PM
"https://www.google.com/maps/place/Lotus+Temple/@28.5791506,77.1584686,12z/data=!4m8!1m2!2m1!1sTourist+spots+in+New+delhi!3m4!1s0x390ce3c16e028cd1:0x653beb1ee85ec67a!8m2!3d28.553492!4d77.2588264?hl=en",Lotus Temple,4.5,37705,Bahá'í house of worship,"Lotus Temple Rd, Bahapur, Shambhu Dayal Bagh, Kalkaji, New Delhi, Delhi 110019, India",bahaihouseofworship.in,+91 11 2644 4029,https://lh5.googleusercontent.com/p/AF1QipPqZxUsLNrndfOCW2P-78w9ABBiCKdvTU-0YUYz=w408-h272-k-no,TRUE,Tourist spots in New delhi,Closed,9AM -   5PM,9AM -   5PM,9AM -   5PM,9AM -   5PM,9AM -   5PM,9AM -   5PM
"https://www.google.com/maps/place/National+Rail+Museum,+Chanakyapuri,+New+Delhi,+Delhi+110021,+India/@28.5791506,77.1584686,12z/data=!4m5!1m2!2m1!1sTourist+spots+in+New+delhi!3m1!1s0x390d1d7021a0de89:0xdb46d0593f9caa02?hl=en",National Rail Museum,4.4,17564,Rail museum,"Chanakyapuri, New Delhi, Delhi 110021, India",nrmindia.com,+91 11 2688 1826,,TRUE,Tourist spots in New delhi,Closed,Closed,10AM -   5PM,10AM -   5PM,10AM -   5PM,10AM -   5PM,10AM -   5PM
